From Currency,To Currency,User Conversion Type,From Conversion Date,To Conversion Date,Conversion Rate,Inverse Conversion Rate,Mode Flag
GBP,CAD,Corporate,06/01/2025,12/01/2025,1.790900,,Insert
GBP,EUR,Corporate,06/01/2025,12/01/2025,1.205800,,Insert
GBP,JPY,Corporate,06/01/2025,12/01/2025,195.246800,,Insert
GBP,USD,Corporate,06/01/2025,12/01/2025,1.240400,,Insert
GBP,CAD,Corporate,13/01/2025,19/01/2025,1.764000,,Insert
GBP,EUR,Corporate,13/01/2025,19/01/2025,1.193100,,Insert
GBP,JPY,Corporate,13/01/2025,19/01/2025,192.689800,,Insert
GBP,USD,Corporate,13/01/2025,19/01/2025,1.223000,,Insert
GBP,CAD,Corporate,20/01/2025,26/01/2025,1.756600,,Insert
GBP,EUR,Corporate,20/01/2025,26/01/2025,1.184400,,Insert
GBP,JPY,Corporate,20/01/2025,26/01/2025,190.423000,,Insert
GBP,USD,Corporate,20/01/2025,26/01/2025,1.219800,,Insert
GBP,CAD,Corporate,27/01/2025,02/02/2025,1.788600,,Insert
GBP,EUR,Corporate,27/01/2025,02/02/2025,1.187100,,Insert
GBP,JPY,Corporate,27/01/2025,02/02/2025,194.413300,,Insert
GBP,USD,Corporate,27/01/2025,02/02/2025,1.248400,,Insert
GBP,CAD,Corporate,03/02/2025,09/02/2025,1.799500,,Insert
GBP,EUR,Corporate,03/02/2025,09/02/2025,1.195200,,Insert
GBP,JPY,Corporate,03/02/2025,09/02/2025,192.377800,,Insert
GBP,USD,Corporate,03/02/2025,09/02/2025,1.242600,,Insert
GBP,CAD,Corporate,10/02/2025,16/02/2025,1.776800,,Insert
GBP,EUR,Corporate,10/02/2025,16/02/2025,1.199700,,Insert
GBP,JPY,Corporate,10/02/2025,16/02/2025,188.086900,,Insert
GBP,USD,Corporate,10/02/2025,16/02/2025,1.242400,,Insert
GBP,CAD,Corporate,17/02/2025,23/02/2025,1.787700,,Insert
GBP,EUR,Corporate,17/02/2025,23/02/2025,1.200700,,Insert
GBP,JPY,Corporate,17/02/2025,23/02/2025,191.970300,,Insert
GBP,USD,Corporate,17/02/2025,23/02/2025,1.261800,,Insert
GBP,CAD,Corporate,24/02/2025,02/03/2025,1.795000,,Insert
GBP,EUR,Corporate,24/02/2025,02/03/2025,1.209000,,Insert
GBP,JPY,Corporate,24/02/2025,02/03/2025,189.015100,,Insert
GBP,USD,Corporate,24/02/2025,02/03/2025,1.263800,,Insert
GBP,CAD,Corporate,03/03/2025,09/03/2025,1.813700,,Insert
GBP,EUR,Corporate,03/03/2025,09/03/2025,1.210800,,Insert
GBP,JPY,Corporate,03/03/2025,09/03/2025,189.737500,,Insert
GBP,USD,Corporate,03/03/2025,09/03/2025,1.259200,,Insert
GBP,CAD,Corporate,10/03/2025,16/03/2025,1.856100,,Insert
GBP,EUR,Corporate,10/03/2025,16/03/2025,1.188900,,Insert
GBP,JPY,Corporate,10/03/2025,16/03/2025,190.647500,,Insert
GBP,USD,Corporate,10/03/2025,16/03/2025,1.292400,,Insert
GBP,CAD,Corporate,17/03/2025,23/03/2025,1.857000,,Insert
GBP,EUR,Corporate,17/03/2025,23/03/2025,1.188000,,Insert
GBP,JPY,Corporate,17/03/2025,23/03/2025,191.813600,,Insert
GBP,USD,Corporate,17/03/2025,23/03/2025,1.291500,,Insert
GBP,CAD,Corporate,24/03/2025,30/03/2025,1.851300,,Insert
GBP,EUR,Corporate,24/03/2025,30/03/2025,1.193100,,Insert
GBP,JPY,Corporate,24/03/2025,30/03/2025,192.100300,,Insert
GBP,USD,Corporate,24/03/2025,30/03/2025,1.289300,,Insert
GBP,CAD,Corporate,31/03/2025,06/04/2025,1.848600,,Insert
GBP,EUR,Corporate,31/03/2025,06/04/2025,1.195500,,Insert
GBP,JPY,Corporate,31/03/2025,06/04/2025,194.465400,,Insert
GBP,USD,Corporate,31/03/2025,06/04/2025,1.294100,,Insert
GBP,CAD,Corporate,07/04/2025,13/04/2025,1.840400,,Insert
GBP,EUR,Corporate,07/04/2025,13/04/2025,1.177900,,Insert
GBP,JPY,Corporate,07/04/2025,13/04/2025,188.309400,,Insert
GBP,USD,Corporate,07/04/2025,13/04/2025,1.294000,,Insert
GBP,CAD,Corporate,14/04/2025,20/04/2025,1.813900,,Insert
GBP,EUR,Corporate,14/04/2025,20/04/2025,1.151600,,Insert
GBP,JPY,Corporate,14/04/2025,20/04/2025,187.435800,,Insert
GBP,USD,Corporate,14/04/2025,20/04/2025,1.305900,,Insert
GBP,CAD,Corporate,21/04/2025,27/04/2025,1.836500,,Insert
GBP,EUR,Corporate,21/04/2025,27/04/2025,1.166000,,Insert
GBP,JPY,Corporate,21/04/2025,27/04/2025,188.199700,,Insert
GBP,USD,Corporate,21/04/2025,27/04/2025,1.323300,,Insert
GBP,CAD,Corporate,28/04/2025,04/05/2025,1.845000,,Insert
